"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","p_adj"
"05330",0.823480369206832,0.665665402433536,1,2,1
"03450",0.824419905839202,0.664367978847807,1,2,1
"00970",0.825515598228574,0.662847305256731,1,2,1
"00640",0.825713425575288,0.662571868476078,1,2,1
"03060",0.826217747552903,0.661868473747639,1,2,1
"05210",0.864601503569072,0.333938682334721,4,9,1
"04650",0.866021396428714,0.331560818227872,4,9,1
"05145",0.866269269016507,0.293073290381618,6,13,1
"04062",0.867072300822169,0.291793396074707,6,13,1
"04380",0.867290513218324,0.307570851825053,5,11,1
"04630",0.86860028478077,0.35886513441639,3,7,1
"03013",0.875477059223284,0.346652098359201,3,7,1
"05322",0.882812162742011,0.281597100188906,5,11,1
"04666",0.886154776316018,0.376851496935854,2,5,1
"04720",0.888479222852996,0.372228108228426,2,5,1
"05144",0.888924347504154,0.371337151242713,2,5,1
"05223",0.892048592873546,0.365032002072994,2,5,1
"05131",0.893277143372896,0.362527383627233,2,5,1
"00100",0.896050778996015,0.356819004753255,2,5,1
"03010",0.898443861524571,0.351832362784319,2,5,1
"05200",0.910933340998253,0.188229067755552,9,20,1
"04810",0.913975372945079,0.21841841270077,5,12,1
"04270",0.918462358869298,0.403475999408025,1,3,1
"05212",0.91854212718061,0.403267202684857,1,3,1
"05100",0.918542127180686,0.403267202684663,1,3,1
"05412",0.918862562059942,0.402427228389193,1,3,1
"00983",0.920404473555879,0.398357640266639,1,3,1
"05215",0.923338809620904,0.216100245807152,4,10,1
"03008",0.923810079447137,0.199582127012224,5,12,1
"05110",0.923998945136412,0.38868713200211,1,3,1
"04920",0.924295423549811,0.387877660618991,1,3,1
"05150",0.926839790321498,0.380853833832389,1,3,1
"00620",0.927364204615215,0.379388679924869,1,3,1
"04510",0.930007936880092,0.224109072865169,3,8,1
"04664",0.930790671864282,0.222353077089682,3,8,1
"04620",0.932042484961463,0.219529614451562,3,8,1
"05140",0.936366942921452,0.209627307851482,3,8,1
"05222",0.943559531383277,0.225388300507233,2,6,1
"04914",0.943752787130023,0.224871582655073,2,6,1
"04910",0.943972468119187,0.224283348398641,2,6,1
"05213",0.944257211844002,0.223519525932325,2,6,1
"04070",0.944462540491964,0.222967768106286,2,6,1
"04530",0.94446486336175,0.222961521460799,2,6,1
"04020",0.944496906310313,0.222875341161667,2,6,1
"04722",0.957703069231823,0.13430655459198,4,11,1
"04141",0.960249177003377,0.128120210920686,4,11,1
"05221",0.962941402097753,0.135628334488253,3,9,1
"04930",0.964961460945611,0.220953536125977,1,4,1
"04960",0.964962402830453,0.22094980985789,1,4,1
"04973",0.965030102961585,0.220681859050163,1,4,1
"04114",0.966509649313347,0.214767349448822,1,4,1
"04730",0.966618785789689,0.214326545418333,1,4,1
"05214",0.966625061671535,0.214301177731615,1,4,1
"05218",0.966625061671535,0.214301177731615,1,4,1
"00562",0.966857924316693,0.213358435664044,1,4,1
"05416",0.967254689533437,0.21174539746746,1,4,1
"04621",0.968635945775684,0.206061961354224,1,4,1
"05120",0.974907660260772,0.120501457583291,2,7,1
"05142",0.981396799515465,0.077277840042325,3,10,1
"00230",0.981528472259233,0.0768549336729019,3,10,1
"05014",0.986004478077184,0.109845516445614,1,5,1
"04912",0.987815174508839,0.0667829642265234,2,8,1
"03018",0.987870732019838,0.0994270976553715,1,5,1
"04012",0.98813363631648,0.0654545277961001,2,8,1
"04145",0.988338243674192,0.0645958803349234,2,8,1
"05146",0.993941118298699,0.0370767088148689,2,9,1
"04370",0.99413324526198,0.0544946945241937,1,6,1
"05220",0.994140049365206,0.0544479598717048,1,6,1
"05160",0.99532753492341,0.0238958337184908,3,12,1
"04670",0.99712553291143,0.0195860332206988,2,10,1
"00071",0.999999999999999,0.41229669245437,0,1,1
"00630",0.999999999999999,0.41229669245437,0,1,1
"04975",0.999999999999999,0.41229669245437,0,1,1
"00785",1,0.410090914906344,0,1,1
"00531",1,0.435698008694988,0,1,1
"03440",1,0.435786156815045,0,1,1
"04540",1,0.179824115465579,0,2,1
"04950",1,0.435786156814536,0,1,1
"05143",1,0.434940760272119,0,1,1
"00140",1,0.405503107340454,0,1,1
"00600",1,0.0805022896239054,0,3,1
"00860",1,0.180586119124692,0,2,1
"04120",1,0.182165497240719,0,2,1
"04210",1,0.0338644535811497,0,4,1
"04610",1,0.423270929228943,0,1,1
"04971",1,0.18872811876329,0,2,1
"05020",1,0.423270929228943,0,1,1
"03410",1,0.17881175982163,0,2,1
"04940",1,0.408156837053477,0,1,1
"05332",1,0.408156837053477,0,1,1
"04966",1,0.435786156814968,0,1,1
"00330",1,0.411505932832671,0,1,1
"04140",1,0.427097089173054,0,1,1
