"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0033179","proton-transporting V-type ATPase, V0 domain","3/401","12/19886",0.00156362618390726,0.0353873294252696,0.031705661125211,"RNASEK/ATP6V0B/ATP6V0A1",3
"CC","GO:0090575","RNA polymerase II transcription regulator complex","13/401","254/19886",0.00204240679233965,0.0439117460353024,0.0393432045261216,"JUN/ATF3/FOS/GTF2H1/TCF7L2/SFPQ/ATF1/DDIT3/TAF2/RARA/JUNB/ATF5/MAFF",13
"CC","GO:0000228","nuclear chromosome","12/401","228/19886",0.00238204877998972,0.0487752845426467,0.0437007445351498,"JUN/NUFIP1/INO80/PLK1/PINX1/ING3/HUS1/ARID4A/TOP2A/BIRC5/TERF2IP/INO80D",12
"CC","GO:0000776","kinetochore","10/401","171/19886",0.00253003593581133,0.0491943361353338,0.044076198348916,"ZWINT/DYNLL1/PLK1/PINX1/KIF18A/FBXO28/CHMP2B/AURKA/BIRC5/CENPU",10
"CC","GO:0005635","nuclear envelope","20/401","494/19886",0.002631324956076,0.0491943361353338,0.044076198348916,"IFI27/AEN/RRP12/DTL/DNAJC2/NXF1/TRA2B/EPC1/ZMPSTE24/MAD2L1BP/ALG14/STX1A/ANKRD17/MX1/KPNA2/DNAJB2/NUP88/CHMP2B/RBM15/NUDT9",20
"MF","GO:0140098","catalytic activity, acting on RNA","26/400","395/18496",5.37559179594617e-07,0.000297270226315823,0.000260291813277393,"TYW1B/TFB2M/ALKBH1/POLR1C/ALKBH8/RNASEK/TRMT13/DDX21/DDX39A/TRIT1/TRMO/DHX29/DUS3L/ZC3H12A/NOP2/DDX10/YARS2/RPP30/DDX27/METTL16/CRCP/PTRH2/POLR3C/DXO/SUPV3L1/DDX52",26
"MF","GO:0008330","protein tyrosine/threonine phosphatase activity","4/400","10/18496",4.0813615734392e-05,0.00752330983370626,0.00658746078520012,"DUSP8/DUSP10/DUSP1/DUSP16",4
"MF","GO:0033550","MAP kinase tyrosine phosphatase activity","4/400","10/18496",4.0813615734392e-05,0.00752330983370626,0.00658746078520012,"DUSP8/DUSP10/DUSP1/DUSP16",4
"MF","GO:0030515","snoRNA binding","6/400","32/18496",5.54476699182928e-05,0.00760886422143244,0.00666237278358984,"NUFIP1/DDX21/NOP58/NUDT16L1/GAR1/UTP25",6
"MF","GO:0017018","myosin phosphatase activity","9/400","82/18496",6.87962407001125e-05,0.00760886422143244,0.00666237278358984,"DUSP8/DUSP10/PPM1D/DUSP1/DUSP12/DUSP16/PPP2CA/PPM1E/CDKN3",9
"MF","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","4/400","13/18496",0.000131973722349707,0.0121635780765646,0.0106505109264676,"DUSP8/DUSP10/DUSP1/DUSP16",4
"MF","GO:0004722","protein serine/threonine phosphatase activity","9/400","100/18496",0.000317540264573809,0.0239931154320803,0.0210085335466963,"DUSP8/DUSP10/PPM1D/DUSP1/DUSP12/DUSP16/PPP2CA/PPM1E/CDKN3",9
"MF","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","6/400","44/18496",0.000347097510771505,0.0239931154320803,0.0210085335466963,"DUSP8/DUSP10/DUSP1/DUSP12/DUSP16/CDKN3",6
"MF","GO:0033549","MAP kinase phosphatase activity","4/400","18/18496",0.00051840502591831,0.0271087840761656,0.0237366340059697,"DUSP8/DUSP10/DUSP1/DUSP16",4
"MF","GO:0140101","catalytic activity, acting on a tRNA","10/400","131/18496",0.000565332261664371,0.0271087840761656,0.0237366340059697,"TYW1B/ALKBH1/ALKBH8/TRMT13/TRIT1/TRMO/DUS3L/YARS2/RPP30/PTRH2",10
"MF","GO:0043022","ribosome binding","9/400","109/18496",0.000600434018913127,0.0271087840761656,0.0237366340059697,"SBDS/DNAJC2/EIF1/NMD3/DHX29/ZC3H12A/SEC61A2/LTN1/ABCE1",9
"MF","GO:0060590","ATPase regulator activity","6/400","49/18496",0.000627913553264538,0.0271087840761656,0.0237366340059697,"HSPH1/DNAJC2/HSPBP1/DNAJB2/BAG1/DNAJA1",6
"MF","GO:0015631","tubulin binding","19/400","379/18496",0.000637277021682013,0.0271087840761656,0.0237366340059697,"NUSAP1/HSPH1/SBDS/INO80/WHAMM/PLK1/CCDC66/KIF18A/DNAL1/MX1/DLGAP5/RGS14/KIF11/KATNA1/GABARAPL1/DRG1/ATF5/BIRC5/VAPB",19
"MF","GO:0043021","ribonucleoprotein complex binding","11/400","168/18496",0.00109964968203477,0.0410067489269181,0.0359057856788471,"AFG2B/SBDS/DNAJC2/EIF1/NMD3/DHX29/ZC3H12A/SEC61A2/LTN1/EZH2/ABCE1",11
"MF","GO:0031490","chromatin DNA binding","9/400","120/18496",0.00119692266627639,0.0410067489269181,0.0359057856788471,"H1-2/CREBBP/KDM6A/GRHL1/PAX6/RARA/EZH2/EP300/H1-0",9
"MF","GO:0030527","structural constituent of chromatin","8/400","97/18496",0.001206385182685,0.0410067489269181,0.0359057856788471,"H2AC6/H1-2/H2AC25/H2BC21/H2BC11/H2BC5/H4C5/H1-0",8
"MF","GO:0003724","RNA helicase activity","7/400","76/18496",0.00127322276559748,0.0410067489269181,0.0359057856788471,"DDX21/DDX39A/DHX29/DDX10/DDX27/SUPV3L1/DDX52",7
"MF","GO:0046982","protein heterodimerization activity","17/400","344/18496",0.0014117856769891,0.0410067489269181,0.0359057856788471,"H2AC6/AOC3/ATF3/KRT10/H2AC25/H2BC21/H2BC11/RRAGC/DDIT3/H2BC5/H4C5/ABTB2/TOP2A/KATNA1/PPP2CA/AURKA/VAPB",17
"MF","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","17/400","344/18496",0.0014117856769891,0.0410067489269181,0.0359057856788471,"JUN/IFI27/BUD31/FOS/GTF2H1/CREBBP/CCDC62/TCF7L2/LATS1/MED13/ID2/DDIT3/GABARAPL1/TOB2/NFKBIA/EP300/DNAJA1",17
"MF","GO:0008186","ATP-dependent activity, acting on RNA","7/400","78/18496",0.00148306506064803,0.0410067489269181,0.0359057856788471,"DDX21/DDX39A/DHX29/DDX10/DDX27/SUPV3L1/DDX52",7
"MF","GO:0016887","ATP hydrolysis activity","19/400","412/18496",0.0016925451976259,0.0442932600211827,0.0387834769386962,"ABCC2/AFG2B/HSPA6/DYNC2H1/DDX21/DDX39A/INO80/KIF18A/CHD2/DHX29/DDX10/DDX27/HELQ/KATNA1/HSPA14/GET3/ABCE1/SUPV3L1/DDX52",19
"MF","GO:0001098","basal transcription machinery binding","6/400","60/18496",0.00184221515458807,0.0442932600211827,0.0387834769386962,"PCF11/SCAF8/NOP58/WAC/ERCC4/WDR43",6
"MF","GO:0001099","basal RNA polymerase II transcription machinery binding","6/400","60/18496",0.00184221515458807,0.0442932600211827,0.0387834769386962,"PCF11/SCAF8/NOP58/WAC/ERCC4/WDR43",6
