"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0031515",1,1,1,1,"tRNA (m1A) methyltransferase complex","CC",1
"GO:0031519",1,1,2,2,"PcG protein complex","CC",1
"GO:0031526",1,1,1,1,"brush border membrane","CC",1
"GO:0031527",1,1,2,2,"filopodium membrane","CC",1
"GO:0031528",1,1,2,2,"microvillus membrane","CC",1
"GO:0031594",1,1,1,1,"neuromuscular junction","CC",1
"GO:0031616",1,1,2,2,"spindle pole centrosome","CC",1
"GO:0031672",1,1,3,3,"A band","CC",1
"GO:0031674",1,1,3,3,"I band","CC",1
"GO:0031680",1,1,1,1,"G-protein beta/gamma-subunit complex","CC",1
"GO:0031901",1,1,8,8,"early endosome membrane","CC",1
"GO:0031902",1,1,13,13,"late endosome membrane","CC",1
"GO:0031903",1,1,2,2,"microbody membrane","CC",1
"GO:0031907",1,1,2,2,"microbody lumen","CC",1
"GO:0031931",1,1,1,1,"TORC1 complex","CC",1
"GO:0031941",1,1,1,1,"filamentous actin","CC",1
"GO:0031965",1,1,29,29,"nuclear membrane","CC",1
"GO:0031966",1,1,45,45,"mitochondrial membrane","CC",1
"GO:0031967",1,1,80,80,"organelle envelope","CC",1
"GO:0031968",1,1,12,12,"organelle outer membrane","CC",1
"GO:0031970",1,1,4,4,"organelle envelope lumen","CC",1
"GO:0031974",1,1,359,359,"membrane-enclosed lumen","CC",1
"GO:0031975",1,1,80,80,"envelope","CC",1
"GO:0031981",1,1,295,295,"nuclear lumen","CC",1
"GO:0031982",1,1,194,194,"vesicle","CC",1
"GO:0031983",1,1,24,24,"vesicle lumen","CC",1
"GO:0031984",1,1,74,74,"organelle subcompartment","CC",1
"GO:0031985",1,1,7,7,"Golgi cisterna","CC",1
"GO:0032009",1,1,2,2,"early phagosome","CC",1
"GO:0032039",1,1,1,1,"integrator complex","CC",1
"GO:0032040",1,1,12,12,"small-subunit processome","CC",1
"GO:0032045",1,1,2,2,"guanyl-nucleotide exchange factor complex","CC",1
"GO:0032133",1,1,2,2,"chromosome passenger complex","CC",1
"GO:0032153",1,1,2,2,"cell division site","CC",1
"GO:0032154",1,1,2,2,"cleavage furrow","CC",1
"GO:0032279",1,1,14,14,"asymmetric synapse","CC",1
"GO:0032280",1,1,1,1,"symmetric synapse","CC",1
"GO:0032281",1,1,1,1,"AMPA glutamate receptor complex","CC",1
"GO:0032391",1,1,1,1,"photoreceptor connecting cilium","CC",1
"GO:0032420",1,1,4,4,"stereocilium","CC",1
"GO:0032421",1,1,4,4,"stereocilium bundle","CC",1
"GO:0032432",1,1,6,6,"actin filament bundle","CC",1
"GO:0032433",1,1,2,2,"filopodium tip","CC",1
"GO:0032437",1,1,1,1,"cuticular plate","CC",1
"GO:0032580",1,1,3,3,"Golgi cisterna membrane","CC",1
"GO:0032585",1,1,2,2,"multivesicular body membrane","CC",1
"GO:0032587",1,1,4,4,"ruffle membrane","CC",1
"GO:0032588",1,1,4,4,"trans-Golgi network membrane","CC",1
"GO:0032589",1,1,1,1,"neuron projection membrane","CC",1
"GO:0032777",1,1,2,2,"Piccolo NuA4 histone acetyltransferase complex","CC",1
"GO:0032783",1,1,1,1,"super elongation complex","CC",1
"GO:0032806",1,1,1,1,"carboxy-terminal domain protein kinase complex","CC",1
"GO:0032809",1,1,2,2,"neuronal cell body membrane","CC",1
"GO:0032838",1,1,8,8,"plasma membrane bounded cell projection cytoplasm","CC",1
"GO:0032937",1,1,1,1,"SREBP-SCAP-Insig complex","CC",1
"GO:0032982",1,1,1,1,"myosin filament","CC",1
"GO:0032991",1,1,319,319,"protein-containing complex","CC",1
"GO:0032993",1,1,76,76,"protein-DNA complex","CC",1
"GO:0033010",1,1,1,1,"paranodal junction","CC",1
"GO:0033093",1,1,1,1,"Weibel-Palade body","CC",1
"GO:0033116",1,1,3,3,"endoplasmic reticulum-Golgi intermediate compartment membrane","CC",1
"GO:0033162",1,1,2,2,"melanosome membrane","CC",1
"GO:0033176",1,1,3,3,"proton-transporting V-type ATPase complex","CC",1
"GO:0033177",1,1,5,5,"proton-transporting two-sector ATPase complex, proton-transporting domain","CC",1
"GO:0033179",1,1,3,3,"proton-transporting V-type ATPase, V0 domain","CC",1
"GO:0033256",1,1,1,1,"I-kappaB/NF-kappaB complex","CC",1
"GO:0033263",1,1,1,1,"CORVET complex","CC",1
"GO:0033276",1,1,1,1,"transcription factor TFTC complex","CC",1
"GO:0033290",1,1,1,1,"eukaryotic 48S preinitiation complex","CC",1
"GO:0034045",1,1,2,2,"phagophore assembly site membrane","CC",1
"GO:0034274",1,1,1,1,"Atg12-Atg5-Atg16 complex","CC",1
"GO:0034399",1,1,9,9,"nuclear periphery","CC",1
"GO:0034451",1,1,8,8,"centriolar satellite","CC",1
"GO:0034455",1,1,1,1,"t-UTP complex","CC",1
"GO:0034506",1,1,2,2,"chromosome, centromeric core domain","CC",1
"GO:0034518",1,1,1,1,"RNA cap binding complex","CC",1
"GO:0034687",1,1,1,1,"integrin alphaL-beta2 complex","CC",1
"GO:0034688",1,1,1,1,"integrin alphaM-beta2 complex","CC",1
"GO:0034689",1,1,1,1,"integrin alphaX-beta2 complex","CC",1
"GO:0034702",1,1,6,6,"monoatomic ion channel complex","CC",1
"GO:0034703",1,1,3,3,"cation channel complex","CC",1
"GO:0034704",1,1,1,1,"calcium channel complex","CC",1
"GO:0034705",1,1,1,1,"potassium channel complex","CC",1
"GO:0034706",1,1,1,1,"sodium channel complex","CC",1
"GO:0034707",1,1,1,1,"chloride channel complex","CC",1
"GO:0034708",1,1,7,7,"methyltransferase complex","CC",1
"GO:0034774",1,1,23,23,"secretory granule lumen","CC",1
"GO:0035032",1,1,1,1,"phosphatidylinositol 3-kinase complex, class III","CC",1
"GO:0035097",1,1,4,4,"histone methyltransferase complex","CC",1
"GO:0035098",1,1,1,1,"ESC/E(Z) complex","CC",1
"GO:0035102",1,1,1,1,"PRC1 complex","CC",1
"GO:0035267",1,1,2,2,"NuA4 histone acetyltransferase complex","CC",1
"GO:0035577",1,1,6,6,"azurophil granule membrane","CC",1
"GO:0035578",1,1,6,6,"azurophil granule lumen","CC",1
"GO:0035579",1,1,7,7,"specific granule membrane","CC",1
"GO:0035580",1,1,5,5,"specific granule lumen","CC",1
"GO:0035631",1,1,1,1,"CD40 receptor complex","CC",1
"GO:0035749",1,1,1,1,"myelin sheath adaxonal region","CC",1
"GO:0035770",1,1,9,9,"ribonucleoprotein granule","CC",1
"GO:0035805",1,1,1,1,"egg coat","CC",1
"GO:0035861",1,1,5,5,"site of double-strand break","CC",1
"GO:0035869",1,1,2,2,"ciliary transition zone","CC",1
"GO:0035976",1,1,3,3,"transcription factor AP-1 complex","CC",1
"GO:0036019",1,1,1,1,"endolysosome","CC",1
"GO:0036020",1,1,1,1,"endolysosome membrane","CC",1
